month,sku,variation,category,location,inventory_units,unit_cost,inventory_value
2022-01-01,classic,original,beverage,factory_a,1400,10,14000
2022-02-01,classic,original,beverage,factory_a,1238,10,12380
2022-03-01,classic,original,beverage,factory_a,1396,10,13960
2022-04-01,classic,original,beverage,factory_a,1348,10,13480
2022-05-01,classic,original,beverage,factory_a,1308,10,13080
2022-06-01,classic,original,beverage,factory_a,1216,10,12160
2022-07-01,classic,original,beverage,factory_a,1311,10,13110
2022-08-01,classic,original,beverage,factory_a,1278,10,12780
2022-09-01,classic,original,beverage,factory_a,1227,10,12270
2022-10-01,classic,original,beverage,factory_a,1362,10,13620
2022-11-01,classic,original,beverage,factory_a,1205,10,12050
2022-12-01,classic,original,beverage,factory_a,1381,10,13810
2023-01-01,classic,original,beverage,factory_a,1438,10,14380
2023-02-01,classic,original,beverage,factory_a,1190,10,11900
2023-03-01,classic,original,beverage,factory_a,1452,10,14520
2023-04-01,classic,original,beverage,factory_a,1353,10,13530
2023-05-01,classic,original,beverage,factory_a,1351,10,13510
2023-06-01,classic,original,beverage,factory_a,1192,10,11920
2023-07-01,classic,original,beverage,factory_a,1196,10,11960
2023-08-01,classic,original,beverage,factory_a,1328,10,13280
2023-09-01,classic,original,beverage,factory_a,1295,10,12950
2023-10-01,classic,original,beverage,factory_a,1202,10,12020
2023-11-01,classic,original,beverage,factory_a,1447,10,14470
2023-12-01,classic,original,beverage,factory_a,1251,10,12510
2024-01-01,classic,original,beverage,factory_a,1618,10,16180
2024-02-01,classic,original,beverage,factory_a,1804,10,18040
2024-03-01,classic,original,beverage,factory_a,1721,10,17210
2024-04-01,classic,original,beverage,factory_a,1933,10,19330
2024-05-01,classic,original,beverage,factory_a,1751,10,17510
2024-06-01,classic,original,beverage,factory_a,1890,10,18900
2024-07-01,classic,original,beverage,factory_a,1826,10,18260
2024-08-01,classic,original,beverage,factory_a,1745,10,17450
2024-09-01,classic,original,beverage,factory_a,1591,10,15910
2024-10-01,classic,original,beverage,factory_a,1919,10,19190
2024-11-01,classic,original,beverage,factory_a,1785,10,17850
2024-12-01,classic,original,beverage,factory_a,1722,10,17220
2025-01-01,classic,original,beverage,factory_a,1990,10,19900
2025-02-01,classic,original,beverage,factory_a,2085,10,20850
2025-03-01,classic,original,beverage,factory_a,2089,10,20890
2025-04-01,classic,original,beverage,factory_a,2284,10,22840
2025-05-01,classic,original,beverage,factory_a,2252,10,22520
2025-06-01,classic,original,beverage,factory_a,2350,10,23500
2025-07-01,classic,original,beverage,factory_a,2060,10,20600
2025-08-01,classic,original,beverage,factory_a,2155,10,21550
2025-09-01,classic,original,beverage,factory_a,2063,10,20630
2025-10-01,classic,original,beverage,factory_a,2316,10,23160
2025-11-01,classic,original,beverage,factory_a,2171,10,21710
2025-12-01,classic,original,beverage,factory_a,2075,10,20750
2026-01-01,classic,original,beverage,factory_a,2233,10,22330
2026-02-01,classic,original,beverage,factory_a,1997,10,19970
2026-03-01,classic,original,beverage,factory_a,2354,10,23540
2022-01-01,classic,original,beverage,factory_b,2030,10,20300
2022-02-01,classic,original,beverage,factory_b,2013,10,20130
2022-03-01,classic,original,beverage,factory_b,1902,10,19020
2022-04-01,classic,original,beverage,factory_b,2023,10,20230
2022-05-01,classic,original,beverage,factory_b,1712,10,17120
2022-06-01,classic,original,beverage,factory_b,1752,10,17520
2022-07-01,classic,original,beverage,factory_b,1696,10,16960
2022-08-01,classic,original,beverage,factory_b,1800,10,18000
2022-09-01,classic,original,beverage,factory_b,1824,10,18240
2022-10-01,classic,original,beverage,factory_b,1780,10,17800
2022-11-01,classic,original,beverage,factory_b,1988,10,19880
2022-12-01,classic,original,beverage,factory_b,1812,10,18120
2023-01-01,classic,original,beverage,factory_b,1784,10,17840
2023-02-01,classic,original,beverage,factory_b,1881,10,18810
2023-03-01,classic,original,beverage,factory_b,1731,10,17310
2023-04-01,classic,original,beverage,factory_b,1978,10,19780
2023-05-01,classic,original,beverage,factory_b,1707,10,17070
2023-06-01,classic,original,beverage,factory_b,2047,10,20470
2023-07-01,classic,original,beverage,factory_b,1967,10,19670
2023-08-01,classic,original,beverage,factory_b,1753,10,17530
2023-09-01,classic,original,beverage,factory_b,1681,10,16810
2023-10-01,classic,original,beverage,factory_b,1983,10,19830
2023-11-01,classic,original,beverage,factory_b,1943,10,19430
2023-12-01,classic,original,beverage,factory_b,1951,10,19510
2024-01-01,classic,original,beverage,factory_b,2622,10,26220
2024-02-01,classic,original,beverage,factory_b,2276,10,22760
2024-03-01,classic,original,beverage,factory_b,2417,10,24170
2024-04-01,classic,original,beverage,factory_b,2296,10,22960
2024-05-01,classic,original,beverage,factory_b,2668,10,26680
2024-06-01,classic,original,beverage,factory_b,2549,10,25490
2024-07-01,classic,original,beverage,factory_b,2403,10,24030
2024-08-01,classic,original,beverage,factory_b,2270,10,22700
2024-09-01,classic,original,beverage,factory_b,2393,10,23930
2024-10-01,classic,original,beverage,factory_b,2401,10,24010
2024-11-01,classic,original,beverage,factory_b,2602,10,26020
2024-12-01,classic,original,beverage,factory_b,2556,10,25560
2025-01-01,classic,original,beverage,factory_b,3350,10,33500
2025-02-01,classic,original,beverage,factory_b,3092,10,30920
2025-03-01,classic,original,beverage,factory_b,2873,10,28730
2025-04-01,classic,original,beverage,factory_b,3242,10,32420
2025-05-01,classic,original,beverage,factory_b,3272,10,32720
2025-06-01,classic,original,beverage,factory_b,3148,10,31480
2025-07-01,classic,original,beverage,factory_b,3278,10,32780
2025-08-01,classic,original,beverage,factory_b,3106,10,31060
2025-09-01,classic,original,beverage,factory_b,3124,10,31240
2025-10-01,classic,original,beverage,factory_b,3064,10,30640
2025-11-01,classic,original,beverage,factory_b,2814,10,28140
2025-12-01,classic,original,beverage,factory_b,2866,10,28660
2026-01-01,classic,original,beverage,factory_b,2818,10,28180
2026-02-01,classic,original,beverage,factory_b,3194,10,31940
2026-03-01,classic,original,beverage,factory_b,2994,10,29940
2022-01-01,classic,original,beverage,3pl_north,3859,10,38590
2022-02-01,classic,original,beverage,3pl_north,3446,10,34460
2022-03-01,classic,original,beverage,3pl_north,3791,10,37910
2022-04-01,classic,original,beverage,3pl_north,3743,10,37430
2022-05-01,classic,original,beverage,3pl_north,3493,10,34930
2022-06-01,classic,original,beverage,3pl_north,4042,10,40420
2022-07-01,classic,original,beverage,3pl_north,3787,10,37870
2022-08-01,classic,original,beverage,3pl_north,3858,10,38580
2022-09-01,classic,original,beverage,3pl_north,3996,10,39960
2022-10-01,classic,original,beverage,3pl_north,3806,10,38060
2022-11-01,classic,original,beverage,3pl_north,3562,10,35620
2022-12-01,classic,original,beverage,3pl_north,3420,10,34200
2023-01-01,classic,original,beverage,3pl_north,3681,10,36810
2023-02-01,classic,original,beverage,3pl_north,3504,10,35040
2023-03-01,classic,original,beverage,3pl_north,3651,10,36510
2023-04-01,classic,original,beverage,3pl_north,3998,10,39980
2023-05-01,classic,original,beverage,3pl_north,3583,10,35830
2023-06-01,classic,original,beverage,3pl_north,3433,10,34330
2023-07-01,classic,original,beverage,3pl_north,3607,10,36070
2023-08-01,classic,original,beverage,3pl_north,4016,10,40160
2023-09-01,classic,original,beverage,3pl_north,3544,10,35440
2023-10-01,classic,original,beverage,3pl_north,3823,10,38230
2023-11-01,classic,original,beverage,3pl_north,3342,10,33420
2023-12-01,classic,original,beverage,3pl_north,3604,10,36040
2024-01-01,classic,original,beverage,3pl_north,4758,10,47580
2024-02-01,classic,original,beverage,3pl_north,4619,10,46190
2024-03-01,classic,original,beverage,3pl_north,4985,10,49850
2024-04-01,classic,original,beverage,3pl_north,4936,10,49360
2024-05-01,classic,original,beverage,3pl_north,5142,10,51420
2024-06-01,classic,original,beverage,3pl_north,4723,10,47230
2024-07-01,classic,original,beverage,3pl_north,4698,10,46980
2024-08-01,classic,original,beverage,3pl_north,4623,10,46230
2024-09-01,classic,original,beverage,3pl_north,4673,10,46730
2024-10-01,classic,original,beverage,3pl_north,5009,10,50090
2024-11-01,classic,original,beverage,3pl_north,4856,10,48560
2024-12-01,classic,original,beverage,3pl_north,4521,10,45210
2025-01-01,classic,original,beverage,3pl_north,5885,10,58850
2025-02-01,classic,original,beverage,3pl_north,5876,10,58760
2025-03-01,classic,original,beverage,3pl_north,6433,10,64330
2025-04-01,classic,original,beverage,3pl_north,6452,10,64520
2025-05-01,classic,original,beverage,3pl_north,5754,10,57540
2025-06-01,classic,original,beverage,3pl_north,6806,10,68060
2025-07-01,classic,original,beverage,3pl_north,5901,10,59010
2025-08-01,classic,original,beverage,3pl_north,6780,10,67800
2025-09-01,classic,original,beverage,3pl_north,6079,10,60790
2025-10-01,classic,original,beverage,3pl_north,5611,10,56110
2025-11-01,classic,original,beverage,3pl_north,5998,10,59980
2025-12-01,classic,original,beverage,3pl_north,6356,10,63560
2026-01-01,classic,original,beverage,3pl_north,6413,10,64130
2026-02-01,classic,original,beverage,3pl_north,6228,10,62280
2026-03-01,classic,original,beverage,3pl_north,6125,10,61250
2022-01-01,classic,original,beverage,3pl_south,5386,10,53860
2022-02-01,classic,original,beverage,3pl_south,5875,10,58750
2022-03-01,classic,original,beverage,3pl_south,5976,10,59760
2022-04-01,classic,original,beverage,3pl_south,5381,10,53810
2022-05-01,classic,original,beverage,3pl_south,5938,10,59380
2022-06-01,classic,original,beverage,3pl_south,5529,10,55290
2022-07-01,classic,original,beverage,3pl_south,5829,10,58290
2022-08-01,classic,original,beverage,3pl_south,5831,10,58310
2022-09-01,classic,original,beverage,3pl_south,5720,10,57200
2022-10-01,classic,original,beverage,3pl_south,5214,10,52140
2022-11-01,classic,original,beverage,3pl_south,6060,10,60600
2022-12-01,classic,original,beverage,3pl_south,5476,10,54760
2023-01-01,classic,original,beverage,3pl_south,5323,10,53230
2023-02-01,classic,original,beverage,3pl_south,5157,10,51570
2023-03-01,classic,original,beverage,3pl_south,5782,10,57820
2023-04-01,classic,original,beverage,3pl_south,5881,10,58810
