month,sku,variation,category,location,inventory_units,unit_cost,inventory_value
2024-01,Matcha Original,Original,Finished,EU_North,85,8.5,722.5
2024-01,Matcha Original,Original,Finished,EU_Central,959,8.5,8151.5
2024-01,Matcha Original,Original,Finished,EU_South,503,8.5,4275.5
2024-01,Matcha Original,Original,Finished,EU_West,326,8.5,2771.0
2024-01,Matcha Original,Original,Finished,EU_East,44,8.5,374.0
2024-01,Matcha Original,Original,Finished,Amazon_FBA,263,8.5,2235.5
2024-01,Matcha Original,Original,Finished,TikTok_FBT,217,8.5,1844.5
2024-01,Matcha Original,Original,Finished,Shopify_FC,78,8.5,663.0
2024-01,Matcha Original,Original,Finished,Factory_A,456,8.5,3876.0
2024-01,Matcha Original,Original,Finished,Factory_B,36,8.5,306.0
2024-01,Matcha Original,Original,Finished,Inbound_Transit,605,8.5,5142.5
2024-01,Matcha Original,Original,Finished,Interwarehouse_Transit,1235,8.5,10497.5
2024-01,Matcha Plus,Plus,Finished,EU_North,192,11.0,2112.0
2024-01,Matcha Plus,Plus,Finished,EU_Central,207,11.0,2277.0
2024-01,Matcha Plus,Plus,Finished,EU_South,12,11.0,132.0
2024-01,Matcha Plus,Plus,Finished,EU_West,207,11.0,2277.0
2024-01,Matcha Plus,Plus,Finished,EU_East,59,11.0,649.0
2024-01,Matcha Plus,Plus,Finished,Amazon_FBA,16,11.0,176.0
2024-01,Matcha Plus,Plus,Finished,TikTok_FBT,863,11.0,9493.0
2024-01,Matcha Plus,Plus,Finished,Shopify_FC,849,11.0,9339.0
2024-01,Matcha Plus,Plus,Finished,Factory_A,454,11.0,4994.0
2024-01,Matcha Plus,Plus,Finished,Factory_B,100,11.0,1100.0
2024-01,Matcha Plus,Plus,Finished,Inbound_Transit,24,11.0,264.0
2024-01,Matcha Plus,Plus,Finished,Interwarehouse_Transit,373,11.0,4103.0
2024-01,Acai Original,Original,Finished,EU_North,65,8.5,552.5
2024-01,Acai Original,Original,Finished,EU_Central,298,8.5,2533.0
2024-01,Acai Original,Original,Finished,EU_South,149,8.5,1266.5
2024-01,Acai Original,Original,Finished,EU_West,42,8.5,357.0
2024-01,Acai Original,Original,Finished,EU_East,85,8.5,722.5
2024-01,Acai Original,Original,Finished,Amazon_FBA,89,8.5,756.5
2024-01,Acai Original,Original,Finished,TikTok_FBT,390,8.5,3315.0
2024-01,Acai Original,Original,Finished,Shopify_FC,214,8.5,1819.0
2024-01,Acai Original,Original,Finished,Factory_A,139,8.5,1181.5
2024-01,Acai Original,Original,Finished,Factory_B,85,8.5,722.5
2024-01,Acai Original,Original,Finished,Inbound_Transit,120,8.5,1020.0
2024-01,Acai Original,Original,Finished,Interwarehouse_Transit,470,8.5,3995.0
2024-01,Acai Plus,Plus,Finished,EU_North,53,11.0,583.0
2024-01,Acai Plus,Plus,Finished,EU_Central,19,11.0,209.0
2024-01,Acai Plus,Plus,Finished,EU_South,312,11.0,3432.0
2024-01,Acai Plus,Plus,Finished,EU_West,142,11.0,1562.0
2024-01,Acai Plus,Plus,Finished,EU_East,63,11.0,693.0
2024-01,Acai Plus,Plus,Finished,Amazon_FBA,9,11.0,99.0
2024-01,Acai Plus,Plus,Finished,TikTok_FBT,53,11.0,583.0
2024-01,Acai Plus,Plus,Finished,Shopify_FC,54,11.0,594.0
2024-01,Acai Plus,Plus,Finished,Factory_A,150,11.0,1650.0
2024-01,Acai Plus,Plus,Finished,Factory_B,121,11.0,1331.0
2024-01,Acai Plus,Plus,Finished,Inbound_Transit,252,11.0,2772.0
2024-01,Acai Plus,Plus,Finished,Interwarehouse_Transit,95,11.0,1045.0
2024-01,Coconut Original,Original,Finished,EU_North,217,8.5,1844.5
2024-01,Coconut Original,Original,Finished,EU_Central,24,8.5,204.0
2024-01,Coconut Original,Original,Finished,EU_South,166,8.5,1411.0
2024-01,Coconut Original,Original,Finished,EU_West,166,8.5,1411.0
2024-01,Coconut Original,Original,Finished,EU_East,39,8.5,331.5
2024-01,Coconut Original,Original,Finished,Amazon_FBA,452,8.5,3842.0
2024-01,Coconut Original,Original,Finished,TikTok_FBT,160,8.5,1360.0
2024-01,Coconut Original,Original,Finished,Shopify_FC,256,8.5,2176.0
2024-01,Coconut Original,Original,Finished,Factory_A,359,8.5,3051.5
2024-01,Coconut Original,Original,Finished,Factory_B,192,8.5,1632.0
2024-01,Coconut Original,Original,Finished,Inbound_Transit,52,8.5,442.0
2024-01,Coconut Original,Original,Finished,Interwarehouse_Transit,19,8.5,161.5
2024-01,Coconut Plus,Plus,Finished,EU_North,92,11.0,1012.0
2024-01,Coconut Plus,Plus,Finished,EU_Central,77,11.0,847.0
2024-01,Coconut Plus,Plus,Finished,EU_South,33,11.0,363.0
2024-01,Coconut Plus,Plus,Finished,EU_West,16,11.0,176.0
2024-01,Coconut Plus,Plus,Finished,EU_East,48,11.0,528.0
2024-01,Coconut Plus,Plus,Finished,Amazon_FBA,430,11.0,4730.0
2024-01,Coconut Plus,Plus,Finished,TikTok_FBT,56,11.0,616.0
2024-01,Coconut Plus,Plus,Finished,Shopify_FC,86,11.0,946.0
2024-01,Coconut Plus,Plus,Finished,Factory_A,159,11.0,1749.0
2024-01,Coconut Plus,Plus,Finished,Factory_B,75,11.0,825.0
2024-01,Coconut Plus,Plus,Finished,Inbound_Transit,460,11.0,5060.0
2024-01,Coconut Plus,Plus,Finished,Interwarehouse_Transit,405,11.0,4455.0
2024-01,Turmeric Original,Original,Finished,EU_North,6,8.5,51.0
2024-01,Turmeric Original,Original,Finished,EU_Central,29,8.5,246.5
2024-01,Turmeric Original,Original,Finished,EU_South,17,8.5,144.5
2024-01,Turmeric Original,Original,Finished,EU_West,122,8.5,1037.0
2024-01,Turmeric Original,Original,Finished,EU_East,49,8.5,416.5
2024-01,Turmeric Original,Original,Finished,Amazon_FBA,267,8.5,2269.5
2024-01,Turmeric Original,Original,Finished,TikTok_FBT,29,8.5,246.5
2024-01,Turmeric Original,Original,Finished,Shopify_FC,138,8.5,1173.0
2024-01,Turmeric Original,Original,Finished,Factory_A,106,8.5,901.0
2024-01,Turmeric Original,Original,Finished,Factory_B,11,8.5,93.5
2024-01,Turmeric Original,Original,Finished,Inbound_Transit,55,8.5,467.5
2024-01,Turmeric Original,Original,Finished,Interwarehouse_Transit,88,8.5,748.0
2024-01,Turmeric Plus,Plus,Finished,EU_North,27,11.0,297.0
2024-01,Turmeric Plus,Plus,Finished,EU_Central,50,11.0,550.0
2024-01,Turmeric Plus,Plus,Finished,EU_South,11,11.0,121.0
2024-01,Turmeric Plus,Plus,Finished,EU_West,8,11.0,88.0
2024-01,Turmeric Plus,Plus,Finished,EU_East,150,11.0,1650.0
2024-01,Turmeric Plus,Plus,Finished,Amazon_FBA,32,11.0,352.0
2024-01,Turmeric Plus,Plus,Finished,TikTok_FBT,13,11.0,143.0
2024-01,Turmeric Plus,Plus,Finished,Shopify_FC,255,11.0,2805.0
2024-01,Turmeric Plus,Plus,Finished,Factory_A,146,11.0,1606.0
2024-01,Turmeric Plus,Plus,Finished,Factory_B,34,11.0,374.0
2024-01,Turmeric Plus,Plus,Finished,Inbound_Transit,86,11.0,946.0
2024-01,Turmeric Plus,Plus,Finished,Interwarehouse_Transit,7,11.0,77.0
2024-01,Ginger Lemon Original,Original,Finished,EU_Central,18,8.5,153.0
2024-01,Ginger Lemon Original,Original,Finished,EU_South,69,8.5,586.5
2024-01,Ginger Lemon Original,Original,Finished,EU_West,117,8.5,994.5
2024-01,Ginger Lemon Original,Original,Finished,EU_East,100,8.5,850.0
2024-01,Ginger Lemon Original,Original,Finished,Amazon_FBA,23,8.5,195.5
2024-01,Ginger Lemon Original,Original,Finished,TikTok_FBT,155,8.5,1317.5
2024-01,Ginger Lemon Original,Original,Finished,Shopify_FC,27,8.5,229.5
2024-01,Ginger Lemon Original,Original,Finished,Factory_A,47,8.5,399.5
2024-01,Ginger Lemon Original,Original,Finished,Factory_B,151,8.5,1283.5
2024-01,Ginger Lemon Original,Original,Finished,Inbound_Transit,123,8.5,1045.5
2024-01,Ginger Lemon Original,Original,Finished,Interwarehouse_Transit,198,8.5,1683.0
2024-01,Ginger Lemon Plus,Plus,Finished,EU_North,79,11.0,869.0
2024-01,Ginger Lemon Plus,Plus,Finished,EU_Central,11,11.0,121.0
2024-01,Ginger Lemon Plus,Plus,Finished,EU_South,30,11.0,330.0
2024-01,Ginger Lemon Plus,Plus,Finished,EU_West,43,11.0,473.0
2024-01,Ginger Lemon Plus,Plus,Finished,EU_East,51,11.0,561.0
2024-01,Ginger Lemon Plus,Plus,Finished,Amazon_FBA,1,11.0,11.0
2024-01,Ginger Lemon Plus,Plus,Finished,TikTok_FBT,194,11.0,2134.0
2024-01,Ginger Lemon Plus,Plus,Finished,Shopify_FC,24,11.0,264.0
2024-01,Ginger Lemon Plus,Plus,Finished,Factory_A,13,11.0,143.0
2024-01,Ginger Lemon Plus,Plus,Finished,Factory_B,86,11.0,946.0
